ISO Code,Country,2013,2018,2019,Source,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID
SLB,Solomon Islands,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
LKA,Sri Lanka,11.0,15.0,14.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TJK,Tajikistan,2.0,2.0,2.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
THA,Thailand,84.0,130.0,137.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TLS,Timor-Leste,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TON,Tonga,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TKM,Turkmenistan,0.0,1.0,1.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TUV,Tuvalu,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
UZB,Uzbekistan,4.0,5.0,7.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
VUT,Vanuatu,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
VNM,Viet Nam,19.0,42.0,51.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
HKG,"Hong Kong, China",,,,Asian Transport Outlook National Database,China,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
TWN,"Taipei,China",,,,Asian Transport Outlook National Database,China,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
IRN,Iran (Islamic Republic of),5.0,10.0,8.0,Asian Transport Outlook National Database,Middle East,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
RUS,Russian Federation,62.0,84.0,96.0,Asian Transport Outlook National Database,Russia,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
,,,,,Asian Transport Outlook National Database,,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
,,,,,Asian Transport Outlook National Database,,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
,Developed with the support of: Asian Development Bank,,,,Asian Transport Outlook National Database,,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
,See terms of use at https://asiantransportoutlook.com/termsofservice,,,,Asian Transport Outlook National Database,,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
